city,males,females,babies,young,elderly,lat,lng,state,state_name
Abbeville,3,0,0,0,3,29.9746502,-92.1342921,LA,Louisiana
Algiers,2,0,0,0,2,29.9510514,-90.08108878,LA,Louisiana
Ascension Parish,1,0,0,0,1,30.20465845,-90.88963011,LA,Louisiana
Baker,1,0,0,0,1,30.5882429,-91.168163,LA,Louisiana
Baton Rouge,46,8,1,4,49,30.4507462,-91.154551,LA,Louisiana
Bayou Vista,1,1,0,0,2,30.2813059,-89.8175651,LA,Louisiana
Bossier City,3,2,0,0,5,32.5064115,-93.65183813,LA,Louisiana
Bossier City ,1,0,0,0,1,32.5064115,-93.65183813,LA,Louisiana
Caddo Parish,1,0,0,0,1,32.60755,-93.90238918,LA,Louisiana
Calcasieu Parish,1,0,0,0,1,30.26537195,-93.36916972,LA,Louisiana
Carencro,2,0,0,0,2,30.317144,-92.0490096,LA,Louisiana
Chalmette,1,0,0,0,1,29.9427037,-89.9634017,LA,Louisiana
Charenton,2,0,0,0,2,29.8815936,-91.5251127,LA,Louisiana
Covington,4,1,0,0,5,30.4754702,-90.1009108,LA,Louisiana
Creston,1,0,0,0,1,31.9759941,-93.049884,LA,Louisiana
DeRidder,1,0,0,0,1,30.8463055,-93.2890528,LA,Louisiana
Denham Springs,2,0,0,0,2,30.4868564,-90.9562125,LA,Louisiana
Donaldsonville,2,0,0,0,2,30.1010324,-90.9928774,LA,Louisiana
Duson,1,0,0,0,1,30.2357577,-92.1854035,LA,Louisiana
East Baton Rouge,1,0,0,0,1,30.4143987,-91.1774318,LA,Louisiana
Ebarb,1,0,0,0,1,31.635777,-93.648603,LA,Louisiana
Edgard,1,0,0,0,1,30.0432578,-90.5600869,LA,Louisiana
Ferriday,1,0,0,0,1,31.6301664,-91.5545649,LA,Louisiana
Garyville,1,0,0,0,1,30.056035,-90.6192554,LA,Louisiana
Geismar,1,0,0,0,1,30.2043633,-91.0226013,LA,Louisiana
Gentilly,4,0,0,0,4,30.0156248,-90.0518356,LA,Louisiana
Gonzales,1,0,0,0,1,30.2385294,-90.9200987,LA,Louisiana
Harahan,1,0,0,0,1,29.9404826,-90.2031313,LA,Louisiana
Harvey,14,0,0,0,14,29.9035387,-90.0772944,LA,Louisiana
Houma,9,1,0,0,9,29.5957696,-90.7195348,LA,Louisiana
Jamestown,1,0,0,0,1,32.3440452,-93.2118341,LA,Louisiana
Jeanerette,1,0,0,0,1,29.9110378,-91.6634484,LA,Louisiana
Jena,1,0,0,0,1,31.6832271,-92.1337448,LA,Louisiana
Kenner,7,0,0,0,7,29.9940924,-90.2417434,LA,Louisiana
Krotz Springs,1,0,0,0,1,30.5368592,-91.7528931,LA,Louisiana
LaFayette,3,1,0,0,4,30.2240897,-92.0198427,LA,Louisiana
LaPlace,5,1,0,1,5,30.0665907,-90.4800848,LA,Louisiana
Lafayette Parish,1,1,0,0,2,30.208284,-92.11207429,LA,Louisiana
Lafourche Parish,1,0,0,0,1,29.50317955,-90.36353872,LA,Louisiana
Lake Charles,5,0,0,0,5,30.2265949,-93.2173759,LA,Louisiana
Larose,1,1,0,0,2,29.572438,-90.3817483,LA,Louisiana
Livingston Parish,1,0,0,0,1,30.412795,-90.74105907,LA,Louisiana
Loranger,1,1,0,0,2,30.6357439,-90.3981441,LA,Louisiana
Luling,1,0,0,0,1,29.9321498,-90.3664695,LA,Louisiana
Mansfield,2,1,0,0,3,32.0376629,-93.7001819,LA,Louisiana
Marrero,9,1,0,1,9,29.8993723,-90.1003506,LA,Louisiana
Metairie,6,3,0,1,9,30.00135175,-90.17673135,LA,Louisiana
Monroe,5,0,0,0,5,32.5093109,-92.1193012,LA,Louisiana
Morgan City,1,0,0,0,1,29.6993748,-91.20677,LA,Louisiana
Nairn,1,0,0,0,1,29.4279955,-89.6108947,LA,Louisiana
New Orleans,146,17,4,8,143,29.9499323,-90.0701156,LA,Louisiana
New Orleans ,1,0,0,0,1,29.9499323,-90.0701156,LA,Louisiana
Port Allen,2,0,0,0,2,30.4521351,-91.2101081,LA,Louisiana
Prairieville,2,0,0,1,1,30.3029721,-90.9720451,LA,Louisiana
Ragley,1,0,0,0,1,30.512699,-93.2323813,LA,Louisiana
Reserve,5,0,0,0,5,30.0538131,-90.5517534,LA,Louisiana
River Ridge,3,0,0,1,2,29.9602043,-90.2156316,LA,Louisiana
Ruston,1,0,0,0,1,32.5269104,-92.6463257,LA,Louisiana
Shreveport,13,0,0,1,12,32.5221828,-93.7651944,LA,Louisiana
Slidell,6,0,0,0,6,30.2751945,-89.7811745,LA,Louisiana
Sorrento,1,0,0,0,1,30.1843642,-90.8592632,LA,Louisiana
St. Bernard,1,0,0,0,1,29.8779823,-89.5969002,LA,Louisiana
St. Joseph,2,0,0,0,2,31.9184926,-91.2334451,LA,Louisiana
St. Rose,3,0,0,0,3,29.9468716,-90.3231349,LA,Louisiana
St. Tammany Parish,1,0,0,0,1,30.4256963,-89.96205484,LA,Louisiana
Terrebonne,1,0,0,0,1,29.4257758,-90.5674867,LA,Louisiana
Terrytown,1,0,0,0,1,29.910205,-90.0325709,LA,Louisiana
Thibodaux,2,0,0,0,2,29.7957633,-90.822871,LA,Louisiana
Varnado,2,0,0,0,2,30.8937963,-89.8295203,LA,Louisiana
Ville Platte,1,0,0,0,0,30.6879749,-92.2715157,LA,Louisiana
Violet,1,0,0,0,1,29.8957605,-89.8978439,LA,Louisiana
Waggaman,1,0,0,0,1,29.9185388,-90.2109093,LA,Louisiana
West Monroe,1,1,0,0,2,32.5184775,-92.1476353,LA,Louisiana
Winnfield,1,0,0,0,1,31.9254413,-92.6395932,LA,Louisiana
Winnsboro,1,0,0,0,1,32.1632079,-91.720681,LA,Louisiana
Bridge City,0,1,0,0,1,29.9332605,-90.1700748,LA,Louisiana
Franklinton,0,1,0,0,1,30.8471283,-90.153141,LA,Louisiana
Longville,0,1,0,0,1,30.6051979,-93.2318269,LA,Louisiana
Many,0,1,0,0,1,31.5687848,-93.4840645,LA,Louisiana
New Iberia,0,1,0,0,1,30.0035365,-91.8187285,LA,Louisiana
Ponchatoula,0,1,0,0,1,30.4388041,-90.4414762,LA,Louisiana
Slaughter,0,1,0,0,1,30.7174063,-91.1414958,LA,Louisiana
St Joseph,0,1,0,0,1,31.9184926,-91.2334451,LA,Louisiana
Abbeville County,1,0,0,0,1,34.2492945,-82.4732577,SC,South Carolina
Anderson County,1,1,0,0,2,34.5153635,-82.65271264,SC,South Carolina
Beaufort,3,0,0,0,3,32.3850708,-80.6923169,SC,South Carolina
Beech Island,1,0,0,0,1,33.4273614,-81.8909473,SC,South Carolina
Belton,2,1,0,0,3,34.5228881,-82.4942948,SC,South Carolina
Bennettsville,3,0,1,0,2,34.6173803,-79.6847814,SC,South Carolina
Bishopville,1,0,0,0,1,34.2182107,-80.2484056,SC,South Carolina
Blackville,1,0,0,0,1,33.3579297,-81.2706606,SC,South Carolina
Burton,1,0,0,0,1,32.4357843,-80.7242883,SC,South Carolina
Charleston County,1,2,0,0,3,32.97595765,-79.56081424,SC,South Carolina
Chester County,1,0,0,0,1,34.6830445,-81.16567344,SC,South Carolina
Colleton County,2,0,0,0,2,32.7863418,-80.65355233,SC,South Carolina
Columbia,26,8,0,1,33,34.0872775,-80.98114974,SC,South Carolina
Conway ,1,0,0,0,1,33.8360035,-79.0478143,SC,South Carolina
Cottageville,1,0,0,1,0,32.936838,-80.480935,SC,South Carolina
Dacusville,1,1,2,0,0,34.9353949,-82.5587384,SC,South Carolina
Darlington,1,0,0,0,1,34.2998762,-79.8761741,SC,South Carolina
Donalds,2,0,0,0,2,34.3770591,-82.3473448,SC,South Carolina
Dorchester County,1,1,0,0,2,33.07602025,-80.42732899,SC,South Carolina
Edgefield County,1,0,0,0,1,33.7543985,-81.94968105,SC,South Carolina
Florence,5,1,0,0,6,33.7846102,-79.4488454,SC,South Carolina
Fort Hill,2,0,0,0,2,34.407373,-80.6475769,SC,South Carolina
Fountain Inn,1,2,1,0,2,34.6890095,-82.1956679,SC,South Carolina
Friendship,1,0,0,0,1,34.4984463,-82.3809556,SC,South Carolina
Gaffney,2,1,0,0,3,35.0717945,-81.6498195,SC,South Carolina
Goose Creek,2,1,0,0,2,33.0126515,-80.03275952,SC,South Carolina
Graniteville,2,0,0,1,1,33.5637483,-81.8078887,SC,South Carolina
Greeleyville,1,0,0,0,1,33.5809988,-79.9889654,SC,South Carolina
Greenville,23,5,2,0,26,34.8512316,-82.3985105,SC,South Carolina
Greenville County,1,1,0,0,2,34.8500365,-82.34855144,SC,South Carolina
Greenwood County,6,3,2,0,7,34.182129,-82.07935191,SC,South Carolina
Hanahan,1,0,0,0,1,32.9138914,-80.0088359,SC,South Carolina
Hilton Head,1,1,0,0,2,32.193817,-80.7381637,SC,South Carolina
Honea Path,1,0,0,0,1,34.4465018,-82.3915122,SC,South Carolina
Irmo,1,0,0,0,1,34.0859829,-81.1831513,SC,South Carolina
Jonesville,1,2,0,0,3,32.7362873,-80.8159402,SC,South Carolina
Kershaw,2,0,0,0,2,34.5518201,-80.5836836,SC,South Carolina
Kiawah Island,1,1,0,0,2,32.6082373,-80.0848166,SC,South Carolina
Latta,1,0,0,0,1,34.3371047,-79.4311616,SC,South Carolina
Lexington County,1,0,0,0,1,33.9250165,-81.28323149,SC,South Carolina
Loris,1,0,0,0,1,34.0562812,-78.8903044,SC,South Carolina
Moncks Corner,3,0,0,0,3,33.1960027,-80.0131374,SC,South Carolina
Mount Pleasant,1,0,0,0,1,32.831845,-79.88584158,SC,South Carolina
Mt. Pleasant,1,0,0,0,1,32.7940651,-79.8625851,SC,South Carolina
